tree_type_botanic,wikidata_id,citree_name
Tilia americana 'Nova',Q130533394,Tilia americana 'Nova'
Tilia cordata,Q158746,Tilia cordata
Tilia cordata 'Erecta',Q158746,Tilia cordata
Tilia cordata 'Greenspire',Q130599614,Tilia cordata 'Greenspire'
Tilia cordata 'Rancho',Q158746,Tilia cordata
Tilia Mongolica,Q1944479,Tilia mongolica
Tilia platyphyllos,Q156831,Tilia platyphyllos
Tilia  species,Q127849,Tilia
Tilia tomentosa,Q161382,Tilia tomentosa
Tilia x euchlora,Q159657,Tilia × euchlora
Tilia x euchlora Selektion,Q159657,Tilia × euchlora
Tilia x intermedia 'Pallida',Q163760,
Tilia x vulgaris,Q163760,Tilia × europaea
Tsuga canadensis,Q1137143,Tsuga canadensis
Tsuga heterophylla,Q1144409,Tsuga heterophylla
Ulmus americana,Q469382,Ulmus americana
Ulmus carpinifolia,Q3547946,Ulmus carpinifolia
Ulmus carpinifolia 'Wredei',Q3547946,Ulmus carpinifolia
Ulmus glabra,Q147498,Ulmus glabra
Ulmus glabra 'Lutescens',Q7879473,Ulmus glabra ʽLutescens’
Ulmus glabra 'Pendula',Q131673698,Ulmus glabra 'Pendula'
Ulmus laevis,Q147492,Ulmus laevis
Ulmus minor,Q147487,Ulmus minor
Ulmus  species,Q131113,Ulmus
Ulmus x hollandica,Q504004,Ulmus × hollandica
Ulmus x hollandica 'Commelin',Q504004,Ulmus × hollandica
Ulmus x hollandica 'Hybriden',Q504004,Ulmus × hollandica
ulmus x hollandica `Lobel`,Q504004,Ulmus × hollandica
Viburnum rhytidophyllum,Q180606,Viburnum rhytidophyllum
Waldartiger Bestand,,
