wikidata_id;baumart_bo;baumart_de;property_id;attribute_name;value;group
Q156918;Salix alba;Silber-Weide;P10906;foliage_type;laubabwerfend;
Q156918;Salix alba;Silber-Weide;P13478;nomenklatorischer_typ_von;Weiden;
Q156918;Salix alba;Silber-Weide;P141;gefaehrdungsstufe_iucn;nicht gefährdet;
Q156918;Salix alba;Silber-Weide;P171;uebergeordnetes_taxon;Weiden;
Q156918;Salix alba;Silber-Weide;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/2015-05-08%20B%C3%BCdingen%20Naturdenkmal%20440.221%20Silber-Weide%20-%200919.jpg;
Q156918;Salix alba;Silber-Weide;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Illustration%20Salix%20alba0.jpg;
Q156918;Salix alba;Silber-Weide;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Salix%20alba%20an%20der%20Isar.jpg;
Q156918;Salix alba;Silber-Weide;P181;verbreitungskarte_des_taxons;http://commons.wikimedia.org/wiki/Special:FilePath/Salix%20alba%20range.svg;
Q156918;Salix alba;Silber-Weide;P225;wissenschaftlicher_name;Salix alba;
Q156918;Salix alba;Silber-Weide;P31;ist_eine;Taxon;
Q156918;Salix alba;Silber-Weide;P366;verwendung;Heilpflanze;
Q156918;Salix alba;Silber-Weide;P4000;fruchttyp;Kapselfrucht;
Q156918;Salix alba;Silber-Weide;P5588;invasiv_in;Australien;
Q156918;Salix alba;Silber-Weide;P9714;verbreitungsgebiet;Autonomes Gebiet Tibet;
Q156918;Salix alba;Silber-Weide;P9714;verbreitungsgebiet;Xinjiang;
Q156831;Tilia platyphyllos;Sommerlinde;P105;taxonomischer_rang;Art;
Q156831;Tilia platyphyllos;Sommerlinde;P10906;foliage_type;laubabwerfend;
Q156831;Tilia platyphyllos;Sommerlinde;P141;gefaehrdungsstufe_iucn;nicht gefährdet;
Q156831;Tilia platyphyllos;Sommerlinde;P1672;ursprung_von;Lindenblüte;
Q156831;Tilia platyphyllos;Sommerlinde;P171;uebergeordnetes_taxon;Linde;
Q156831;Tilia platyphyllos;Sommerlinde;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/L%C3%ADpa%20u%20Horn%C3%ADho%20Z%C3%A1blat%C3%AD%20v%20roce%202011%20%281%29.JPG;
