name_botanic,strain,wikidata_id,baumart_bo
Pterocarya fraxinifolia (Lam.) Spach,Allgemein,Q121749,Pterocarya fraxinifolia
Pterocarya stenoptera C. DC.,Allgemein,Q2699896,Pterocarya stenoptera
Pterostyrax hispida Siebold et Zucc.,Allgemein,,
Pyracantha coccinea M.J. Roem.,Allgemein,,
Pyrus calleryana Decne. var. calleryana,Allgemein,Q3079266,Pyrus calleriana
Pyrus calleryana Decne. var. calleryana,Chanticleer,Q3079266,Pyrus calleriana
Pyrus communis L.,Allgemein,Q149332,Pyrus communis
Pyrus communis L.,Beech Hill,Q149332,Pyrus communis
Pyrus elaeagrifolia Pall.,Allgemein,,
Pyrus pyraster Burgsd. (Pyrus communis L. var. pyraster (Burgsd.)),Allgemein,,
Pyrus salicifolia Pall.,Allgemein,Q1591053,Pyrus salicifolia
Pyrus salicifolia Pall.,Pendula,Q1591053,Pyrus salicifolia
Pyrus spinosa Forssk.,Allgemein,,
Quercus acutissima Carruth.,Allgemein,,
Quercus bicolor Willd.,Allgemein,,
Quercus cerris L.,Allgemein,Q157277,Quercus cerris
Quercus coccinea Münchh.,Allgemein,Q854714,Quercus coccinea
Quercus coccinea Münchh.,Splendens,Q854714,Quercus coccinea
Quercus falcata Michx.,Allgemein,,
Quercus frainetto Ten.,Allgemein,Q857075,Quercus frainetto
Quercus ilicifolia Wangenh.,Allgemein,,
Quercus imbricaria Michx.,Allgemein,Q528713,Quercus imbricaria
Quercus libani Olivier,Allgemein,,
Quercus macranthera Fisch. et C.A. Mey. ex Hohen.,Allgemein,Q1105707,Quercus macranthera
Quercus macrocarpa Michx. var. macrocarpa,Allgemein,,
Quercus marilandica Münchh.,Allgemein,,
Quercus montana Willd. (Quercus prinus L.),Allgemein,,
Quercus muehlenbergii Engelm.,Allgemein,Q2611816,Quercus muehlenbergii
Quercus palustris Münchh.,Allgemein,Q161253,Quercus palustris
Quercus phellos L.,Allgemein,,
Quercus pubescens Willd. subsp. pubescens,Allgemein,Q161415,Quercus pubescens
Quercus robur L. ssp. petraea Kl. et Kr. et Rol. (Quercus robur subsp. sessiliflora (Salisb.) A. DC.,Allgemein,Q165145,Quercus robur
Quercus robur L. ssp. robur Kl. et Kr. et Rol.,Allgemein,Q165145,Quercus robur
Quercus robur L. ssp. robur Kl. et Kr. et Rol.,Fastigiata,Q165145,Quercus robur
Quercus robur L. ssp. robur Kl. et Kr. et Rol.,Fastigiata Koster,Q165145,Quercus robur
